,案號,法官
1,"CHDM,102,交簡,2712,20140102,1","

黃玉齡"
2,"CHDM,102,交簡,2784,20140106,1","

王祥豪"
3,"CHDM,102,交簡,2806,20140103,1","

黃玉齡"
4,"CHDM,102,交簡,2822,20140103,1","

黃玉齡"
5,"CHDM,103,交簡,105,20140123,1","

簡佩珺"
6,"CHDM,103,交簡,135,20140129,1","

黃玉齡"
7,"CHDM,103,交簡,138,20140120,1","

吳永梁"
8,"CHDM,103,交簡,153,20140128,1","

黃士瑋"
9,"CHDM,103,交簡,173,20140122,1","

吳俊螢"
10,"CHDM,103,交簡,24,20140127,1","

黃玉齡"
11,"CHDM,103,交簡,26,20140128,1","

黃士瑋"
12,"CHDM,103,交簡,73,20140117,1","

曹馨方"
13,"CHDM,103,交簡,75,20140116,1","

陳佳妤"
14,"CHDM,103,交簡,85,20140115,1","

陳彥志"
15,"CHDM,103,交簡,97,20140128,1","

黃士瑋"
16,"CYDM,102,嘉交簡,1366,20140107,1","

陳嘉臨"
17,"CYDM,102,嘉交簡,1390,20140120,1","

傅曉瑄 (Fu Xiao-xuan)"
18,"CYDM,103,嘉交簡,14,20140117,1","

周欣怡"
19,"CYDM,103,嘉交簡,183,20140127,1","

吳育汝"
20,"CYDM,103,嘉交簡,88,20140117,1","

周欣怡"
21,"CYDM,103,朴交簡,12,20140110,1","

周欣怡"
22,"CYDM,103,朴交簡,37,20140115,1","

張道周"
23,"CYDM,103,朴交簡,53,20140127,1","

林正雄"
24,"FYEM,103,豐交簡,121,20140124,1","

黃文進"
25,"FYEM,103,豐交簡,33,20140108,1","

林新竑"
26,"FYEM,103,豐交簡,79,20140115,1","

林新竑"
27,"FYEM,103,豐交簡,97,20140121,1","

黃文進"
28,"HLDM,102,花交簡,399,20140107,1","

顏維助"
29,"HLDM,103,交簡,1,20140107,1","

戴韻玲"
30,"HLDM,103,花交簡,11,20140109,1","

陸怡璇"
31,"HLDM,103,花交簡,12,20140109,1","

顏維助"
32,"HLDM,103,花交簡,14,20140103,1","

施建榮"
33,"HLDM,103,花交簡,26,20140124,1","

李水源"
34,"HLDM,103,花交簡,30,20140114,1","

顏維助"
35,"HLDM,103,花交簡,39,20140117,1","

顏維助"
36,"HLDM,103,花交簡,52,20140127,1","

李水源"
37,"HLDM,103,花交簡,6,20140127,1","

李水源"
38,"HUEM,103,虎交簡,1,20140113,1","

鍾世芬"
39,"HUEM,103,虎交簡,15,20140122,1","

鍾世芬"
40,"HUEM,103,虎交簡,18,20140129,1","

鍾世芬"
41,"HUEM,103,虎交簡,3,20140110,1","

王紹銘"
42,"HUEM,103,虎交簡,8,20140117,1","

高士傑"
43,"ILDM,102,交簡,1146,20140106,1","

李岳"
44,"KLDM,103,基交簡,15,20140107,1","

吳佳齡"
45,"KLDM,103,基交簡,22,20140117,1","

曾淑婷"
46,"KLDM,103,基交簡,23,20140106,1","

李辛茹"
47,"KLDM,103,基交簡,3,20140111,1","

陳怡安"
48,"KLDM,103,基交簡,32,20140120,1","

鄭虹真"
49,"KLDM,103,基交簡,39,20140122,1","

鄭富容"
50,"KLDM,103,基交簡,4,20140103,1","

齊潔"
51,"KLDM,103,基交簡,53,20140129,1","

藍君宜"
52,"KLDM,103,基交簡,56,20140126,1","

李辛茹"
53,"KLDM,103,基交簡,59,20140128,1","

陳怡安"
54,"KLDM,103,基交簡,60,20140128,1","

陳怡安"
55,"KLDM,103,基交簡,62,20140129,1","

鄭富容"
56,"KLDM,103,基交簡,7,20140111,1","

陳怡安"
57,"KLDM,103,基交簡,8,20140103,1","

施添寶"
58,"KSDM,102,交簡,4001,20140127,1","

王令冠"
59,"KSDM,102,交簡,4362,20140107,1","

王令冠"
60,"KSDM,102,交簡,5188,20140117,1","

王令冠"
61,"KSDM,102,交簡,5194,20140116,1","

王令冠"
62,"KSDM,102,交簡,5229,20140106,1","

鄭伊倫"
63,"KSDM,102,交簡,5245,20140117,1","

王令冠"
64,"KSDM,102,交簡,5246,20140120,1","

王令冠"
65,"KSDM,102,交簡,5253,20140117,1","

王令冠"
66,"KSDM,102,交簡,5276,20140117,1","

王令冠"
67,"KSDM,102,交簡,5297,20140120,1","

王令冠"
68,"KSDM,102,交簡,5301,20140120,1","

王令冠"
69,"KSDM,102,交簡,5304,20140117,1","

王令冠"
70,"KSDM,102,交簡,5315,20140120,1","

王令冠"
71,"KSDM,102,交簡,5341,20140120,1","

王令冠"
72,"KSDM,102,交簡,5357,20140120,1","

王令冠"
73,"KSDM,102,交簡,5359,20140124,1","

王令冠"
74,"KSDM,102,交簡,5364,20140106,1","

鄭伊倫"
75,"KSDM,102,交簡,5369,20140106,1","

鄭伊倫"
76,"KSDM,102,交簡,5370,20140124,1","

王令冠"
77,"KSDM,102,交簡,5386,20140106,1","

鄭伊倫"
78,"KSDM,102,交簡,5400,20140127,1","

王令冠"
79,"KSDM,102,交簡,5406,20140127,1","

王令冠"
80,"KSDM,102,交簡,5409,20140127,1","

王令冠"
81,"KSDM,102,交簡,5411,20140106,1","

鄭伊倫"
82,"KSDM,102,交簡,5417,20140106,1","

鄭伊倫"
83,"KSDM,102,交簡,5420,20140106,1","

鄭伊倫"
84,"KSDM,102,交簡,5436,20140127,1","

王令冠"
85,"KSDM,102,交簡,5437,20140106,1","

鄭伊倫"
86,"KSDM,102,交簡,5441,20140106,1","

鄭伊倫"
87,"KSDM,102,交簡,5447,20140127,1","

王令冠"
88,"KSDM,102,交簡,5450,20140106,1","

鄭伊倫"
89,"KSDM,102,交簡,5457,20140127,1","

王令冠"
90,"KSDM,102,交簡,5469,20140106,1","

鄭伊倫"
91,"KSDM,102,交簡,5477,20140106,1","

鄭伊倫"
