,案號,法官
1,"CHDM,110,交簡,100,20210113,1","

陳怡潔"
2,"CHDM,110,交簡,105,20210115,1","

陳彥志"
3,"CHDM,110,交簡,112,20210112,1","

巫美蕙"
4,"CHDM,110,交簡,132,20210112,1","

王祥豪"
5,"CHDM,110,交簡,140,20210113,1","

葉明松"
6,"CHDM,110,交簡,143,20210118,1","

王義閔"
7,"CHDM,110,交簡,16,20210111,1","

梁義順"
8,"CHDM,110,交簡,160,20210125,1","

李昕"
9,"CHDM,110,交簡,177,20210118,1","

陳義忠"
10,"CHDM,110,交簡,181,20210115,1","

黃士瑋"
11,"CHDM,110,交簡,200,20210119,1","

王祥豪"
12,"CHDM,110,交簡,219,20210119,1","

王祥豪"
13,"CHDM,110,交簡,220,20210126,1","

黃士瑋"
14,"CHDM,110,交簡,230,20210126,1","

陳怡潔"
15,"CHDM,110,交簡,247,20210126,1","

黃士瑋"
16,"CHDM,110,交簡,249,20210125,1","

葉明松"
17,"CHDM,110,交簡,275,20210127,1","

王祥豪"
18,"CHDM,110,交簡,3,20210120,1","

黃士瑋"
19,"CHDM,110,交簡,36,20210107,1","

蘇品樺"
20,"CHDM,110,交簡,42,20210111,1","

黃士瑋"
21,"CHDM,110,交簡,50,20210112,1","

陳彥志"
22,"CHDM,110,交簡,66,20210113,1","

陳怡潔"
23,"CHDM,110,交簡,81,20210111,1","

黃士瑋"
24,"CHDM,110,交簡,91,20210111,1","

陳義忠"
25,"CHDM,110,交簡,96,20210111,1","

梁義順"
26,"CHDM,110,交簡,98,20210120,1","

黃士瑋"
27,"CHDM,110,軍交簡,1,20210126,1","

陳怡潔"
28,"CPEM,109,竹東交簡,302,20210107,1","

華澹寧"
29,"CPEM,110,竹北交簡,17,20210122,1","

卓怡君"
30,"CPEM,110,竹東交簡,12,20210122,1","

卓怡君"
31,"CTDM,109,交簡,2974,20210105,1","

黃三友"
32,"CTDM,109,交簡,3026,20210112,1","

廖華君"
33,"CTDM,109,交簡,3110,20210105,1","

廖華君"
34,"CTDM,109,交簡,3113,20210111,1","

黃三友"
35,"CTDM,109,交簡,3120,20210105,1","

陳箐"
36,"CTDM,109,交簡,3122,20210111,1","

黃三友"
37,"CTDM,109,交簡,3123,20210106,1","

廖華君"
38,"CTDM,109,交簡,3124,20210112,1","

廖華君"
39,"CTDM,109,交簡,3130,20210111,1","

黃三友"
40,"CTDM,109,交簡,3134,20210112,1","

黃三友"
