,案號,刑期,呼氣酒精濃度,是否累犯,是否坦承犯行,有無出現交通事故,有無乘客,是否為職業駕駛,交通工具,家庭經濟,教育程度,除酒駕以外的交通違規,易科罰金,併科罰金
1,"CHDM,109,交簡,107,20200109,1",4 months,百分之0.2084,no,是,是,否,否,汽車,勉持,國中畢業,無,yes,"NT$5,000"
2,"CHDM,109,交簡,109,20200131,1",4 months,0.29毫克/公升,yes,是,無,無,否,電動自行車,勉強維持,國小畢業,無,"NT$1,000 per day",0元
3,"CHDM,109,交簡,12,20200131,1",3 months,0.28毫克/公升,yes,是,無,無,否,普通重型機車,貧寒,國小肄業,無,yes,"NT$10,000"
4,"CHDM,109,交簡,121,20200130,1",4 months,0.214%,yes,是,是,無,否,普通重型機車,未提及,高職肄業,駕照已遭吊銷仍駕駛,yes,20000元
5,"CHDM,109,交簡,123,20200131,1",5 months,0.61毫克/公升,否,否,否,否,否,機車,勉持,高職畢業,無,"可易科罰金，NT$1,000 per day",0元
6,"CHDM,109,交簡,13,20200110,1",2 months,0.27毫克/公升,否,是,無,無,無,未提及,未明確提及，但法院考慮了家庭經濟狀況,智識程度,無,可易科罰金,0元
7,"CHDM,109,交簡,149,20200131,1",5 months,0.46毫克/公升,yes,未提及,未提及,未提及,否,自小客車,貧寒,國小畢業,未提及,"NT$1,000 per day",0元
8,"CHDM,109,交簡,155,20200131,1",3 months,0.60毫克/公升,No,未提及,是,未提及,否,機車,小康,高職肄業,未提及,"NT$1,000 per day",0元
9,"CHDM,109,交簡,194,20200131,1",6 months,0.30毫克/公升,yes,是,無,無,否,機車,未提及,國中畢業,曾經因不能安全駕駛動力交通工具案件、服用毒品致不能安全駕駛動力交通工具致人於死案件,"NT$1,000 per day",0元
10,"CHDM,109,交簡,23,20200121,1",3 months,1.28毫克/公升,No,未提及,未提及,未提及,否,機車,勉持,高職畢業,未提及,"NT$1,000 per day",0元
11,"CHDM,109,交簡,26,20200114,1",4 months,未提及,no,是,未提及,未提及,未提及,普通重型機車,未提及,未提及,未提及,yes,0元
12,"CHDM,109,交簡,37,20200107,1",5 months,0.56毫克/公升,yes,是,無,無,否,自小客貨車,勉持,高職畢業,無,"NT$1,000 per day",0元
13,"CHDM,109,交簡,43,20200109,1",3 months,0.72毫克/公升,no,是,是,無,是,汽車,勉持,高職畢業,無,yes,0元
14,"CHDM,109,交簡,48,20200107,1",5 months,0.75毫克/公升,否,是,無,無,否,普通重型機車,勉持,高中肄業,闖越紅燈,"可易科罰金，NT$1,000 per day",0元
15,"CHDM,109,交簡,52,20200131,1",4 months,1.16毫克/公升,no,否,是,否,否,機車,小康,高職畢業,擦撞他人車輛,"yes, NT$1,000 per day",0元
16,"CHDM,109,交簡,53,20200115,1",3 months,0.32毫克/公升,yes,坦承,無,無,否,普通重型機車,無資料,高中畢業,無資料,yes,20000元
17,"CHDM,109,交簡,64,20200115,1",4 months,0.59毫克/公升,否,坦承,有,無,否,自小客車,未提及,高職畢業,未提及,可易科罰金,0元
