,案號,法官
1,"CHDM,103,交簡,1401,20150130,1","

黃麗玲"
2,"CHDM,103,交簡,2719,20150123,1","

黃玉齡"
3,"CHDM,103,交簡,2741,20150123,1","

黃玉齡"
4,"CHDM,103,交簡,2761,20150123,1","

黃玉齡"
5,"CHDM,103,交簡,2844,20150123,1","

黃玉齡"
6,"CHDM,103,交簡,2874,20150126,1","

黃玉齡"
7,"CHDM,103,交簡,3072,20150106,1","

陳德池"
8,"CHDM,103,交簡,3083,20150113,1","

魏志修"
9,"CHDM,103,交簡,3133,20150105,1","

曹馨方"
10,"CHDM,103,交簡,3138,20150105,1","

曹馨方"
11,"CHDM,104,交簡,110,20150116,1","

曹馨方"
12,"CHDM,104,交簡,134,20150130,1","

巫美蕙"
13,"CHDM,104,交簡,181,20150123,1","

曹馨方"
14,"CHDM,104,交簡,184,20150129,1","

黃士瑋"
15,"CHDM,104,交簡,202,20150130,1","

陳彥志"
16,"CHDM,104,交簡,235,20150130,1","

曹馨方"
17,"CHDM,104,交簡,244,20150130,1","

黃士瑋"
18,"CHDM,104,交簡,30,20150129,1","

巫美蕙"
19,"CHDM,104,交簡,67,20150115,1","

黃士瑋"
20,"CHDM,104,交簡,95,20150130,1","

陳佳妤"
21,"CHDM,104,審交簡,1,20150108,1","

曹馨方"
22,"CHDM,104,審交簡,8,20150122,1","

黃玉齡"
23,"CYDM,104,嘉交簡,108,20150129,1","

周欣怡"
24,"CYDM,104,嘉交簡,122,20150129,1","

周欣怡"
25,"CYDM,104,嘉交簡,126,20150129,1","

林正雄"
26,"CYDM,104,嘉交簡,139,20150129,1","

張道周"
27,"CYDM,104,嘉交簡,143,20150130,1","

林正雄"
28,"CYDM,104,嘉交簡,62,20150129,1","

陳嘉臨"
29,"CYDM,104,嘉交簡,69,20150130,1","

周欣怡"
30,"CYDM,104,嘉交簡,74,20150129,1","

周欣怡"
31,"CYDM,104,嘉交簡,80,20150119,1","

張道周"
32,"CYDM,104,嘉交簡,90,20150129,1","

周欣怡 (Judge Chou Hsin-yi)"
33,"CYDM,104,嘉交簡,99,20150129,1","

周欣怡"
34,"CYDM,104,朴交簡,21,20150115,1","

陳嘉臨"
35,"HLDM,104,玉交簡,2,20150120,1","

顏維助"
36,"HLDM,104,花交簡,13,20150120,1","

顏維助"
37,"HLDM,104,花交簡,20,20150113,1","

黃柏憲"
38,"HLDM,104,花交簡,21,20150107,1","

施建榮"
39,"HLDM,104,花交簡,22,20150121,1","

陸怡璇"
40,"HLDM,104,花交簡,29,20150115,1","

李水源"
41,"HLDM,104,花交簡,30,20150120,1","

顏維助"
42,"HLDM,104,花交簡,33,20150113,1","

黃柏憲"
43,"HLDM,104,花交簡,35,20150122,1","

顏維助"
44,"HLDM,104,花交簡,38,20150111,1","

廖晉賦"
45,"HLDM,104,花交簡,40,20150121,1","

陸怡璇 (Lu Yi-xuan)"
46,"HLDM,104,花交簡,60,20150126,1","

顏維助"
47,"HLDM,104,花交簡,71,20150130,1","

陸怡璇"
48,"HLDM,104,花交簡,9,20150121,1","

陸怡璇"
49,"HUEM,103,虎交簡,307,20150127,1","

高士傑"
50,"HUEM,103,虎交簡,308,20150116,1","

梁智賢"
51,"HUEM,103,虎交簡,312,20150116,1","

梁智賢"
52,"HUEM,104,虎交簡,1,20150114,1","

陳雅琪"
53,"HUEM,104,虎交簡,10,20150119,1","

廖國勝"
54,"HUEM,104,虎交簡,13,20150126,1","

陳雅琪"
55,"HUEM,104,虎交簡,18,20150130,1","

梁智賢"
56,"HUEM,104,虎交簡,3,20150127,1","

高士傑"
57,"HUEM,104,虎交簡,8,20150127,1","

高士傑"
58,"ILDM,103,交簡,1172,20150122,1","

李岳"
59,"KLDM,103,基交簡,1289,20150105,1","

陳怡安"
60,"KLDM,104,基交簡,12,20150130,1","

謝昀芳"
61,"KLDM,104,基交簡,15,20150107,1","

曾淑婷"
62,"KLDM,104,基交簡,17,20150115,1","

陳怡安"
63,"KLDM,104,基交簡,18,20150113,1","

鄭富容"
64,"KLDM,104,基交簡,2,20150113,1","

鄭富容"
65,"KLDM,104,基交簡,20,20150112,1","

李辛茹"
66,"KLDM,104,基交簡,23,20150112,1","

李辛茹"
67,"KLDM,104,基交簡,28,20150130,1","

謝昀芳"
68,"KLDM,104,基交簡,29,20150113,1","

曾淑婷"
69,"KLDM,104,基交簡,32,20150112,1","

李辛茹"
70,"KLDM,104,基交簡,34,20150113,1","

齊潔"
71,"KLDM,104,基交簡,35,20150119,1","

劉桂金"
72,"KLDM,104,基交簡,41,20150113,1","

李辛茹"
73,"KLDM,104,基交簡,42,20150113,1","

李辛茹"
74,"KLDM,104,基交簡,47,20150121,1","

陳怡安"
75,"KLDM,104,基交簡,49,20150120,1","

鄭虹真"
76,"KLDM,104,基交簡,55,20150115,1","

李辛茹"
77,"KLDM,104,基交簡,60,20150130,1","

謝昀芳"
78,"KLDM,104,基交簡,61,20150128,1","

陳怡安"
79,"KLDM,104,基交簡,62,20150126,1","

齊潔"
80,"KLDM,104,基交簡,65,20150128,1","

陳怡安"
81,"KLDM,104,基交簡,67,20150128,1","

陳怡安"
82,"KLDM,104,基交簡,82,20150130,1","

鄭虹真"
83,"KLDM,105,基交簡,28,20150106,1","

鄭富容"
84,"KLDM,105,基交簡,40,20150106,1","

鄭富容"
85,"KSDM,103,交簡,7150,20150105,1","

葉逸如"
86,"KSDM,103,交簡,7283,20150116,1","

王令冠"
87,"KSDM,103,交簡,7296,20150107,1","

鄭珮玟"
88,"KSDM,103,交簡,7304,20150107,1","

鄭珮玟"
89,"KSDM,103,交簡,7334,20150107,1","

鄭珮玟"
90,"KSDM,103,交簡,7350,20150108,1","

鄭瑋"
91,"KSDM,103,交簡,7363,20150116,1","

王令冠"
92,"KSDM,103,交簡,7370,20150105,1","

葉逸如"
93,"KSDM,103,交簡,7379,20150116,1","

王令冠"
94,"KSDM,103,交簡,7384,20150105,1","

葉逸如"
95,"KSDM,103,交簡,7385,20150105,1","

葉逸如"
96,"KSDM,103,交簡,7387,20150108,1","

鄭瑋"
97,"KSDM,103,交簡,7389,20150108,1","

鄭珮玟"
98,"KSDM,103,交簡,7392,20150108,1","

鄭珮玟"
99,"KSDM,103,交簡,7403,20150105,1","

葉逸如"
100,"KSDM,103,交簡,7415,20150105,1","

葉逸如"
101,"KSDM,103,交簡,7420,20150114,1","

鄭珮玟"
102,"KSDM,103,交簡,7423,20150108,1","

葉逸如"
103,"KSDM,103,交簡,7426,20150108,1","

鄭瑋"
104,"KSDM,103,交簡,7427,20150116,1","

王令冠"
105,"KSDM,103,交簡,7429,20150116,1","

王令冠"
106,"KSDM,103,交簡,7431,20150105,1","

葉逸如"
107,"KSDM,103,交簡,7437,20150108,1","

鄭瑋"
108,"KSDM,103,交簡,7438,20150105,1","

葉逸如"
109,"KSDM,103,交簡,7441,20150105,1","

葉逸如"
110,"KSDM,103,交簡,7445,20150116,1","

王令冠"
