,案號,法官
1,"CHDM,108,交簡,100,20190115,1","

黃士瑋"
2,"CHDM,108,交簡,102,20190114,1","

徐啓惟"
3,"CHDM,108,交簡,107,20190111,1","

楊鑫忠"
4,"CHDM,108,交簡,125,20190125,1","

李欣恩"
5,"CHDM,108,交簡,126,20190123,1","

楊鑫忠"
6,"CHDM,108,交簡,155,20190124,1","

王祥豪"
7,"CHDM,108,交簡,170,20190128,1","

楊鑫忠"
8,"CHDM,108,交簡,183,20190128,1","

楊鑫忠"
9,"CHDM,108,交簡,186,20190128,1","

楊鑫忠"
10,"CHDM,108,交簡,190,20190129,1","

黃士瑋"
11,"CHDM,108,交簡,207,20190131,1","

楊鑫忠"
12,"CHDM,108,交簡,21,20190111,1","

楊鑫忠"
13,"CHDM,108,交簡,214,20190129,1","

黃士瑋"
14,"CHDM,108,交簡,224,20190129,1","

黃士瑋"
15,"CHDM,108,交簡,234,20190130,1","

黃士瑋"
16,"CHDM,108,交簡,4,20190115,1","

黃士瑋"
17,"CHDM,108,交簡,43,20190111,1","

楊鑫忠"
18,"CHDM,108,交簡,58,20190131,1","

陳義忠"
19,"CHDM,108,交簡,78,20190111,1","

楊鑫忠"
20,"CHDM,108,交簡,83,20190115,1","

黃士瑋"
21,"CTDM,107,交簡,2622,20190109,1","

陳奕帆"
22,"CTDM,107,交簡,2647,20190109,1","

陳奕帆"
23,"CTDM,107,交簡,2648,20190109,1","

陳奕帆"
24,"CTDM,107,交簡,2762,20190109,1","

陳奕帆"
25,"CTDM,107,交簡,2903,20190104,1","

黃三友"
26,"CTDM,107,交簡,2944,20190107,1","

黃三友"
27,"CTDM,107,交簡,2964,20190108,1","

黃三友"
28,"CTDM,107,交簡,2981,20190109,1","

黃三友"
29,"CTDM,107,交簡,2990,20190109,1","

黃三友"
30,"CTDM,107,交簡,3009,20190104,1","

林揚奇"
31,"CTDM,107,交簡,3021,20190119,1","

朱盈吉"
32,"CTDM,108,交簡,112,20190115,1","

朱盈吉"
33,"CTDM,108,交簡,13,20190119,1","

朱盈吉"
34,"CTDM,108,交簡,133,20190129,1","

黃三友"
35,"CTDM,108,交簡,137,20190129,1","

黃三友"
36,"CTDM,108,交簡,140,20190121,1","

朱盈吉"
37,"CTDM,108,交簡,149,20190121,1","

朱盈吉"
38,"CTDM,108,交簡,157,20190130,1","

朱盈吉"
39,"CTDM,108,交簡,163,20190123,1","

朱盈吉"
40,"CTDM,108,交簡,169,20190128,1","

朱盈吉"
41,"CTDM,108,交簡,177,20190129,1","

朱盈吉"
42,"CTDM,108,交簡,181,20190128,1","

朱盈吉"
43,"CTDM,108,交簡,182,20190130,1","

朱盈吉"
44,"CTDM,108,交簡,184,20190124,1","

朱盈吉"
45,"CTDM,108,交簡,190,20190131,1","

林揚奇"
46,"CTDM,108,交簡,194,20190124,1","

陳箐"
47,"CTDM,108,交簡,212,20190128,1","

朱盈吉"
48,"CTDM,108,交簡,221,20190130,1","

朱盈吉"
49,"CTDM,108,交簡,24,20190116,1","

朱盈吉"
50,"CTDM,108,交簡,244,20190131,1","

朱盈吉"
51,"CTDM,108,交簡,263,20190130,1","

黃裕堯"
52,"CTDM,108,交簡,5,20190119,1","

朱盈吉"
53,"CTDM,108,交簡,50,20190110,1","

黃裕堯"
54,"CTDM,108,交簡,51,20190116,1","

朱盈吉"
55,"CTDM,108,交簡,54,20190123,1","

徐右家"
56,"CTDM,108,交簡,58,20190114,1","

朱盈吉"
57,"CTDM,108,交簡,59,20190119,1","

朱盈吉"
58,"CTDM,108,交簡,7,20190116,1","

朱盈吉"
59,"CTDM,108,交簡,89,20190119,1","

朱盈吉"
60,"CTDM,108,交簡,9,20190115,1","

黃三友"
61,"CYDM,108,嘉交簡,101,20190121,1","

林正雄"
62,"CYDM,108,嘉交簡,127,20190130,1","

張佐榕"
63,"CYDM,108,嘉交簡,135,20190129,1","

謝其達"
64,"CYDM,108,嘉交簡,146,20190131,1","

張佐榕"
65,"CYDM,108,嘉交簡,149,20190130,1","

陳嘉臨"
66,"CYDM,108,嘉交簡,3,20190110,1","

凃啟夫"
67,"CYDM,108,嘉交簡,4,20190131,1","

周欣怡"
68,"CYDM,108,嘉交簡,40,20190110,1","

凃啟夫"
69,"CYDM,108,嘉交簡,42,20190109,1","

謝其達"
70,"CYDM,108,嘉交簡,75,20190123,1","

凃啟夫"
71,"CYDM,108,嘉交簡,83,20190116,1","

謝其達"
72,"CYDM,108,嘉交簡,84,20190116,1","

謝其達"
73,"CYDM,108,嘉交簡,89,20190130,1","

陳嘉臨"
74,"CYDM,108,嘉交簡,97,20190122,1","

陳嘉臨"
75,"CYDM,108,朴交簡,13,20190122,1","

陳嘉臨"
76,"CYDM,108,朴交簡,15,20190118,1","

陳嘉臨"
77,"CYDM,108,朴交簡,22,20190125,1","

張佐榕"
78,"CYDM,108,朴交簡,34,20190128,1","

陳嘉臨"
79,"CYDM,108,朴交簡,48,20190130,1","

陳嘉臨"
80,"CYDM,108,朴交簡,52,20190131,1","

張佐榕"
81,"FYEM,108,豐交簡,14,20190107,1","

林新竑"
82,"FYEM,108,豐交簡,37,20190109,1","

林新竑"
83,"FYEM,108,豐交簡,44,20190114,1","

林新竑"
84,"FYEM,108,豐交簡,53,20190116,1","

林新竑"
85,"FYEM,108,豐交簡,57,20190116,1","

林新竑"
86,"FYEM,108,豐交簡,7,20190103,1","

林新竑"
87,"FYEM,108,豐交簡,74,20190121,1","

林新竑"
88,"FYEM,108,豐交簡,96,20190128,1","

林新竑"
89,"FYEM,108,豐交簡,99,20190128,1","

林新竑"
90,"HLDM,108,玉交簡,11,20190130,1","

陸怡璇"
91,"HLDM,108,玉交簡,7,20190117,1","

陸怡璇"
92,"HLDM,108,花交簡,14,20190107,1","

邱佳玄"
93,"HLDM,108,花交簡,16,20190117,1","

林思婷"
94,"HLDM,108,花交簡,22,20190115,1","

邱佳玄"
95,"HLDM,108,花交簡,33,20190119,1","

邱佳玄"
96,"HLDM,108,花交簡,37,20190121,1","

陸怡璇 (Lu Yi-xuan)"
97,"HLDM,108,花交簡,42,20190129,1","

邱佳玄"
98,"ILDM,107,交簡,1433,20190115,1","

呂俐雯"
99,"ILDM,107,交簡,1448,20190107,1","

陳玉雲"
100,"ILDM,107,交簡,1458,20190102,1","

陳玉雲"
101,"ILDM,108,交簡,15,20190121,1","

陳玉雲"
102,"ILDM,108,交簡,17,20190121,1","

陳玉雲"
103,"ILDM,108,交簡,32,20190121,1","

陳玉雲"
104,"ILDM,108,交簡,34,20190129,1","

楊心希"
105,"ILDM,108,交簡,55,20190128,1","

陳盈孜"
106,"ILDM,108,交簡,58,20190128,1","

陳玉雲"
107,"ILDM,108,交簡,65,20190130,1","

楊心希"
108,"ILDM,108,交簡,7,20190129,1","

楊心希"
109,"ILDM,108,交簡,78,20190128,1","

張淑華"
110,"KLDM,108,基交簡,1,20190107,1","

施添寶"
111,"KLDM,108,基交簡,10,20190110,1","

李謀榮"
112,"KLDM,108,基交簡,11,20190108,1","

謝昀芳"
113,"KLDM,108,基交簡,12,20190118,1","

李辛茹"
114,"KLDM,108,基交簡,13,20190107,1","

施添寶"
115,"KLDM,108,基交簡,17,20190110,1","

李謀榮"
116,"KLDM,108,基交簡,19,20190103,1","

鄭虹真"
117,"KLDM,108,基交簡,2,20190104,1","

陳怡安"
118,"KLDM,108,基交簡,24,20190109,1","

陳怡安"
119,"KLDM,108,基交簡,25,20190110,1","

謝昀芳"
120,"KLDM,108,基交簡,29,20190115,1","

陳怡安"
121,"KLDM,108,基交簡,3,20190103,1","

齊潔"
122,"KLDM,108,基交簡,30,20190110,1","

施添寶"
123,"KLDM,108,基交簡,36,20190116,1","

齊潔"
124,"KLDM,108,基交簡,38,20190117,1","

謝昀芳"
125,"KLDM,108,基交簡,40,20190116,1","

施添寶"
126,"KLDM,108,基交簡,42,20190122,1","

李謀榮"
127,"KLDM,108,基交簡,5,20190110,1","

李謀榮"
128,"KLDM,108,基交簡,51,20190121,1","

李辛茹"
129,"KLDM,108,基交簡,52,20190121,1","

施添寶"
130,"KLDM,108,基交簡,54,20190128,1","

李辛茹"
131,"KLDM,108,基交簡,57,20190128,1","

李謀榮"
132,"KLDM,108,基交簡,59,20190130,1","

施添寶"
133,"KLDM,108,基交簡,6,20190118,1","

李辛茹"
134,"KLDM,108,基交簡,60,20190131,1","

施添寶"
135,"KLDM,108,基交簡,7,20190103,1","

鄭虹真"
136,"KLDM,108,基交簡,9,20190110,1","

李謀榮"
137,"KSDM,107,交簡,2776,20190103,1","

洪毓良"
138,"KSDM,107,交簡,2803,20190104,1","

洪毓良"
139,"KSDM,107,交簡,2940,20190107,1","

洪毓良"
140,"KSDM,107,交簡,2949,20190107,1","

洪毓良"
141,"KSDM,107,交簡,2995,20190108,1","

洪毓良"
142,"KSDM,107,交簡,3033,20190109,1","

洪毓良"
143,"KSDM,107,交簡,3084,20190130,1","

洪毓良"
144,"KSDM,107,交簡,3602,20190103,1","

張瀞文"
145,"KSDM,107,交簡,3645,20190104,1","

楊甯伃"
146,"KSDM,107,交簡,3651,20190102,1","

陳美芳"
147,"KSDM,107,交簡,3652,20190102,1","

陳美芳"
148,"KSDM,107,交簡,3663,20190110,1","

張瀞文"
149,"KSDM,107,交簡,3665,20190110,1","

張瀞文"
150,"KSDM,107,交簡,3675,20190110,1","

楊甯伃"
151,"KSDM,107,交簡,3679,20190104,1","

陳美芳"
152,"KSDM,107,交簡,3702,20190115,1","

洪韻婷"
153,"KSDM,107,交簡,3703,20190115,1","

洪韻婷"
154,"KSDM,107,交簡,3710,20190115,1","

洪韻婷"
155,"KSDM,107,交簡,3714,20190115,1","

洪韻婷"
156,"KSDM,107,交簡,3715,20190110,1","

張瀞文"
157,"KSDM,107,交簡,3716,20190115,1","

洪韻婷"
158,"KSDM,107,交簡,3719,20190110,1","

張瀞文"
159,"KSDM,107,交簡,3730,20190115,1","

洪韻婷"
160,"KSDM,107,交簡,3736,20190115,1","

洪韻婷"
161,"KSDM,107,交簡,3739,20190104,1","

陳美芳"
162,"KSDM,107,交簡,3742,20190110,1","

張瀞文"
163,"KSDM,107,交簡,3747,20190110,1","

張瀞文"
164,"KSDM,107,交簡,3750,20190115,1","

洪韻婷"
165,"KSDM,107,交簡,3755,20190104,1","

陳美芳"
166,"KSDM,107,交簡,3761,20190108,1","

蔡書瑜"
167,"KSDM,107,交簡,3762,20190107,1","

陳美芳"
168,"KSDM,107,交簡,3763,20190117,1","

洪韻婷"
169,"KSDM,107,交簡,3766,20190115,1","

洪韻婷"
170,"KSDM,107,交簡,3767,20190115,1","

洪韻婷"
171,"KSDM,107,交簡,3770,20190118,1","

張瀞文"
172,"KSDM,107,交簡,3778,20190117,1","

張瀞文"
173,"KSDM,107,交簡,3785,20190116,1","

張瀞文"
174,"KSDM,107,交簡,3786,20190115,1","

洪韻婷"
175,"KSDM,107,交簡,3787,20190116,1","

張瀞文"
176,"KSDM,107,交簡,3794,20190117,1","

洪毓良"
177,"KSDM,107,交簡,3795,20190117,1","

張瀞文"
178,"KSDM,107,交簡,3796,20190117,1","

洪韻婷"
179,"KSDM,107,交簡,3800,20190117,1","

洪韻婷"
180,"KSDM,107,交簡,3803,20190104,1","

楊甯伃"
181,"KSDM,107,交簡,3804,20190110,1","

楊甯伃"
182,"KSDM,107,交簡,3806,20190122,1","

洪韻婷"
183,"KSDM,107,交簡,3807,20190117,1","

洪韻婷"
184,"KSDM,107,交簡,3810,20190129,1","

黃政忠"
185,"KSDM,107,交簡,3814,20190108,1","

陳美芳"
186,"KSDM,107,交簡,3816,20190121,1","

張瀞文"
187,"KSDM,107,交簡,3817,20190117,1","

洪韻婷"
188,"KSDM,107,交簡,3821,20190117,1","

洪韻婷"
189,"KSDM,107,交簡,3822,20190107,1","

洪毓良"
190,"KSDM,107,交簡,3824,20190107,1","

蔡書瑜"
191,"KSDM,107,交簡,3828,20190117,1","

張瀞文"
192,"KSDM,107,交簡,3830,20190117,1","

洪韻婷"
