,案號,法官
1,"CHDM,105,交簡,2624,20170110,1","

張佳燉"
2,"CHDM,105,交簡,2814,20170113,1","

張琇涵"
3,"CHDM,106,交簡,102,20170109,1","

王素珍"
4,"CHDM,106,交簡,103,20170106,1","

徐啓惟"
5,"CHDM,106,交簡,104,20170110,1","

陳彥志"
6,"CHDM,106,交簡,105,20170113,1","

陳德池"
7,"CHDM,106,交簡,108,20170126,1","

魏志修"
8,"CHDM,106,交簡,110,20170113,1","

法官：巫美蕙"
9,"CHDM,106,交簡,115,20170109,1","

吳俊螢"
10,"CHDM,106,交簡,118,20170109,1","

楊鑫忠"
11,"CHDM,106,交簡,122,20170109,1","

楊鑫忠"
12,"CHDM,106,交簡,134,20170119,1","

黃士瑋"
13,"CHDM,106,交簡,152,20170126,1","

林怡君"
14,"CHDM,106,交簡,164,20170118,1","

楊鑫忠"
15,"CHDM,106,交簡,17,20170123,1","

張琇涵"
16,"CHDM,106,交簡,174,20170119,1","

黃士瑋"
17,"CHDM,106,交簡,200,20170126,1","

巫美蕙"
18,"CHDM,106,交簡,210,20170120,1","

吳俊螢"
19,"CHDM,106,交簡,24,20170109,1","

楊鑫忠"
20,"CHDM,106,交簡,243,20170126,1","

黃士瑋"
21,"CHDM,106,交簡,265,20170126,1","

巫美蕙"
22,"CHDM,106,交簡,3,20170123,1","

林于捷"
23,"CHDM,106,交簡,4,20170110,1","

黃士瑋"
24,"CHDM,106,交簡,57,20170110,1","

黃士瑋"
25,"CHDM,106,交簡,58,20170109,1","

楊鑫忠"
26,"CHDM,106,交簡,61,20170112,1","

陳義忠"
27,"CHDM,106,交簡,65,20170113,1","

吳永梁"
28,"CHDM,106,交簡,76,20170123,1","

林于捷"
29,"CHDM,106,交簡,82,20170109,1","

吳俊螢"
30,"CPEM,105,竹北交簡,459,20170111,1","

傅曉瑄"
31,"CPEM,105,竹北交簡,614,20170111,1","

傅曉瑄"
32,"CPEM,105,竹北交簡,709,20170111,1","

傅曉瑄"
33,"CPEM,105,竹北交簡,713,20170111,1","

傅曉瑄"
34,"CPEM,105,竹北交簡,721,20170111,1","

傅曉瑄"
35,"CPEM,105,竹北交簡,731,20170111,1","

傅曉瑄"
36,"CPEM,105,竹北交簡,735,20170111,1","

傅曉瑄"
37,"CPEM,105,竹北交簡,740,20170111,1","

傅曉瑄"
38,"CPEM,105,竹北交簡,749,20170111,1","

傅曉瑄"
39,"CPEM,105,竹北交簡,763,20170111,1","

傅曉瑄"
40,"CPEM,105,竹北交簡,765,20170111,1","

傅曉瑄"
41,"CPEM,105,竹北交簡,766,20170111,1","

傅曉瑄"
42,"CPEM,105,竹北交簡,767,20170111,1","

傅曉瑄"
43,"CPEM,105,竹北交簡,772,20170111,1","

傅曉瑄"
44,"CPEM,105,竹北交簡,775,20170111,1","

傅曉瑄"
45,"CPEM,105,竹北交簡,777,20170111,1","

傅曉瑄"
46,"CPEM,105,竹北交簡,788,20170113,1","

傅曉瑄"
47,"CPEM,105,竹北交簡,789,20170113,1","

傅曉瑄"
48,"CPEM,105,竹北交簡,798,20170111,1","

傅曉瑄"
49,"CPEM,105,竹東交簡,159,20170105,1","

傅曉瑄"
50,"CPEM,105,竹東交簡,164,20170109,1","

傅曉瑄"
51,"CPEM,105,竹東交簡,166,20170105,1","

傅曉瑄"
52,"CPEM,105,竹東交簡,168,20170109,1","

傅曉瑄"
53,"CPEM,105,竹東交簡,171,20170109,1","

傅曉瑄"
54,"CPEM,105,竹東交簡,175,20170109,1","

傅曉瑄"
55,"CPEM,105,竹東交簡,176,20170109,1","

傅曉瑄"
56,"CPEM,105,竹東交簡,181,20170109,1","

傅曉瑄"
57,"CPEM,105,竹東交簡,187,20170113,1","

傅曉瑄"
58,"CPEM,106,竹北交簡,13,20170119,1","

傅曉瑄"
59,"CTDM,105,交簡,4456,20170103,1","

唐照明"
60,"CTDM,105,交簡,4483,20170110,1","

唐照明"
61,"CTDM,105,交簡,4516,20170110,1","

唐照明"
62,"CTDM,105,交簡,4545,20170113,1","

唐照明"
63,"CTDM,105,交簡,4591,20170118,1","

唐照明"
64,"CTDM,105,交簡,4593,20170120,1","

許瑜容"
65,"CTDM,105,交簡,4618,20170118,1","

張俊文"
66,"CTDM,105,交簡,4625,20170118,1","

張俊文"
67,"CTDM,105,交簡,4635,20170118,1","

唐照明"
68,"CTDM,105,交簡,4645,20170118,1","

張俊文"
69,"CTDM,105,交簡,4674,20170118,1","

唐照明"
70,"CTDM,105,交簡,4696,20170118,1","

唐照明"
71,"CTDM,105,交簡,4700,20170109,1","

梁凱富"
72,"CTDM,105,交簡,4747,20170118,1","

唐照明"
73,"CTDM,105,交簡,4755,20170109,1","

梁凱富"
74,"CTDM,105,交簡,4773,20170126,1","

蕭筠蓉"
75,"CTDM,105,交簡,4777,20170118,1","

唐照明"
76,"CTDM,106,交簡,1,20170112,1","

許瑜容"
77,"CTDM,106,交簡,101,20170117,1","

張俊文"
78,"CTDM,106,交簡,105,20170116,1","

許瑜容"
79,"CTDM,106,交簡,108,20170117,1","

張俊文"
80,"CTDM,106,交簡,11,20170112,1","

許瑜容"
81,"CTDM,106,交簡,112,20170117,1","

張俊文"
82,"CTDM,106,交簡,113,20170119,1","

許瑜容"
83,"CTDM,106,交簡,12,20170109,1","

許瑜容"
84,"CTDM,106,交簡,124,20170116,1","

張俊文"
85,"CTDM,106,交簡,125,20170117,1","

張俊文"
86,"CTDM,106,交簡,126,20170119,1","

許瑜容"
87,"CTDM,106,交簡,128,20170116,1","

許瑜容 (Judge Hsu Yu-Jung)"
88,"CTDM,106,交簡,129,20170117,1","

張俊文"
89,"CTDM,106,交簡,133,20170123,1","

許瑜容"
90,"CTDM,106,交簡,134,20170118,1","

張俊文"
91,"CTDM,106,交簡,135,20170118,1","

張俊文"
92,"CTDM,106,交簡,137,20170119,1","

張俊文"
93,"CTDM,106,交簡,138,20170118,1","

張俊文"
94,"CTDM,106,交簡,139,20170123,1","

許瑜容"
95,"CTDM,106,交簡,144,20170123,1","

許瑜容"
96,"CTDM,106,交簡,145,20170126,1","

陳薏伩"
97,"CTDM,106,交簡,149,20170123,1","

張俊文"
98,"CTDM,106,交簡,151,20170123,1","

許瑜容"
99,"CTDM,106,交簡,152,20170120,1","

張俊文"
100,"CTDM,106,交簡,157,20170120,1","

張俊文"
101,"CTDM,106,交簡,161,20170123,1","

許瑜容"
102,"CTDM,106,交簡,165,20170120,1","

張俊文"
103,"CTDM,106,交簡,167,20170126,1","

許瑜容"
104,"CTDM,106,交簡,17,20170109,1","

許瑜容"
105,"CTDM,106,交簡,171,20170123,1","

張俊文"
106,"CTDM,106,交簡,172,20170123,1","

張俊文"
107,"CTDM,106,交簡,179,20170125,1","

張俊文"
108,"CTDM,106,交簡,18,20170109,1","

張俊文"
109,"CTDM,106,交簡,180,20170124,1","

張俊文"
110,"CTDM,106,交簡,183,20170126,1","

許瑜容"
111,"CTDM,106,交簡,186,20170126,1","

許瑜容"
112,"CTDM,106,交簡,188,20170125,1","

張俊文"
113,"CTDM,106,交簡,190,20170125,1","

張俊文"
114,"CTDM,106,交簡,191,20170126,1","

許瑜容"
115,"CTDM,106,交簡,192,20170126,1","

許瑜容"
116,"CTDM,106,交簡,197,20170126,1","

許瑜容"
117,"CTDM,106,交簡,25,20170109,1","

許瑜容"
118,"CTDM,106,交簡,26,20170111,1","

張俊文"
119,"CTDM,106,交簡,27,20170112,1","

許瑜容"
120,"CTDM,106,交簡,28,20170104,1","

張俊文"
121,"CTDM,106,交簡,44,20170109,1","

許瑜容"
122,"CTDM,106,交簡,45,20170109,1","

許瑜容"
123,"CTDM,106,交簡,46,20170109,1","

許瑜容"
124,"CTDM,106,交簡,52,20170111,1","

張俊文"
125,"CTDM,106,交簡,54,20170106,1","

許瑜容"
126,"CTDM,106,交簡,56,20170109,1","

許瑜容"
127,"CTDM,106,交簡,57,20170109,1","

許瑜容"
128,"CTDM,106,交簡,64,20170109,1","

許瑜容"
129,"CTDM,106,交簡,65,20170109,1","

張俊文"
130,"CTDM,106,交簡,66,20170111,1","

張俊文"
131,"CTDM,106,交簡,68,20170109,1","

許瑜容"
132,"CTDM,106,交簡,69,20170111,1","

張俊文"
133,"CTDM,106,交簡,70,20170104,1","

張俊文"
134,"CTDM,106,交簡,71,20170109,1","

張俊文"
135,"CTDM,106,交簡,72,20170111,1","

張俊文"
136,"CTDM,106,交簡,73,20170106,1","

許瑜容"
137,"CTDM,106,交簡,83,20170118,1","

許瑜容"
138,"CTDM,106,交簡,9,20170112,1","

許瑜容"
139,"CTDM,106,交簡,90,20170126,1","

梁凱富"
140,"CTDM,106,交簡,91,20170126,1","

梁凱富"
141,"CTDM,106,交簡,99,20170112,1","

張俊文"
142,"CYDM,106,嘉交簡,115,20170126,1","

陳嘉臨"
143,"CYDM,106,嘉交簡,117,20170126,1","

張佐榕"
144,"CYDM,106,嘉交簡,20,20170103,1","

吳育霖"
145,"CYDM,106,嘉交簡,34,20170119,1","

凃啟夫"
146,"CYDM,106,嘉交簡,39,20170106,1","

蘇姵文"
147,"CYDM,106,嘉交簡,42,20170116,1","

黃鏡芳"
148,"CYDM,106,嘉交簡,62,20170119,1","

林正雄"
149,"CYDM,106,嘉交簡,68,20170119,1","

陳嘉臨"
150,"CYDM,106,嘉交簡,7,20170119,1","

凃啟夫"
151,"CYDM,106,嘉交簡,96,20170123,1","

蘇姵文"
152,"CYDM,106,嘉交簡,99,20170125,1","

黃鏡芳"
153,"CYDM,106,朴交簡,17,20170119,1","

陳嘉臨"
154,"CYDM,106,朴交簡,3,20170106,1","

陳嘉臨"
155,"FYEM,106,豐交簡,26,20170109,1","

林新竑"
156,"FYEM,106,豐交簡,30,20170109,1","

林新竑"
157,"FYEM,106,豐交簡,58,20170116,1","

林新竑"
158,"FYEM,106,豐交簡,63,20170116,1","

林新竑"
159,"FYEM,106,豐交簡,83,20170123,1","

林新竑"
160,"HLDM,106,玉交簡,10,20170125,1","

黃柏憲"
161,"HLDM,106,花交簡,12,20170106,1","

顏維助"
162,"HLDM,106,花交簡,17,20170106,1","

顏維助"
163,"HLDM,106,花交簡,33,20170110,1","

顏維助"
164,"HLDM,106,花交簡,47,20170109,1","

顏維助"
165,"HLDM,106,花交簡,5,20170106,1","

黃光進"
166,"HLDM,106,花交簡,53,20170126,1","

林敬超"
167,"HLDM,106,花交簡,8,20170113,1","

林敬超"
168,"HUEM,105,虎交簡,314,20170116,1","

簡廷恩"
169,"HUEM,105,虎交簡,325,20170116,1","

簡廷恩"
170,"HUEM,105,虎交簡,350,20170106,1","

蔡鎮宇"
171,"HUEM,105,虎交簡,352,20170106,1","

黃偉銘"
172,"HUEM,105,虎交簡,360,20170106,1","

蔡鎮宇"
173,"HUEM,105,虎交簡,367,20170106,1","

蔡鎮宇"
174,"HUEM,105,虎交簡,369,20170118,1","

王子榮"
175,"HUEM,105,虎交簡,375,20170106,1","

黃偉銘"
176,"HUEM,105,虎交簡,378,20170118,1","

王子榮"
177,"HUEM,105,虎交簡,384,20170106,1","

黃偉銘"
178,"HUEM,105,虎交簡,394,20170109,1","

黃偉銘"
179,"HUEM,106,虎交簡,13,20170118,1","

王子榮"
180,"HUEM,106,虎交簡,3,20170118,1","

王子榮"
181,"ILDM,105,交簡,1812,20170103,1","

李岳"
182,"ILDM,105,交簡,1831,20170103,1","

李岳"
183,"ILDM,105,交簡,1845,20170118,1","

呂俐雯"
184,"ILDM,105,交簡,1869,20170111,1","

李岳"
185,"ILDM,106,交簡,103,20170116,1","

許乃文"
186,"ILDM,106,交簡,2125,20170119,1","

李岳"
187,"ILDM,106,交簡,23,20170116,1","

李岳"
188,"ILDM,106,交簡,28,20170116,1","

李岳"
189,"ILDM,106,交簡,63,20170111,1","

許乃文"
190,"ILDM,106,交簡,67,20170116,1","

李岳"
191,"ILDM,106,交簡,72,20170120,1","

林惠玲"
192,"ILDM,106,交簡,77,20170110,1","

張育彰"
193,"KLDM,106,基交簡,1,20170111,1","

李謀榮"
194,"KLDM,106,基交簡,10,20170106,1","

鄭富容"
195,"KLDM,106,基交簡,16,20170109,1","

施添寶"
196,"KLDM,106,基交簡,19,20170120,1","

施添寶"
197,"KLDM,106,基交簡,2,20170111,1","

李謀榮"
198,"KLDM,106,基交簡,22,20170111,1","

李辛茹"
199,"KLDM,106,基交簡,25,20170112,1","

李謀榮"
200,"KLDM,106,基交簡,28,20170112,1","

李謀榮"
201,"KLDM,106,基交簡,30,20170118,1","

周霙蘭"
202,"KLDM,106,基交簡,32,20170120,1","

施添寶 (Judge Shi Tianbao)"
203,"KLDM,106,基交簡,39,20170120,1","

施添寶"
204,"KLDM,106,基交簡,46,20170124,1","

施添寶"
205,"KLDM,106,基交簡,5,20170111,1","

李謀榮"
206,"KLDM,106,基交簡,54,20170124,1","

施添寶 (Shih Tien-Pao)"
207,"KLDM,106,基交簡,61,20170125,1","

李謀榮"
208,"KSDM,105,交簡,3797,20170103,1","

林柏壽"
209,"KSDM,105,交簡,3816,20170103,1","

林柏壽"
210,"KSDM,105,交簡,3822,20170104,1","

林柏壽"
211,"KSDM,105,交簡,3835,20170104,1","

林柏壽"
212,"KSDM,105,交簡,3842,20170104,1","

林柏壽"
213,"KSDM,105,交簡,3850,20170104,1","

林柏壽"
214,"KSDM,105,交簡,3854,20170104,1","

林柏壽"
215,"KSDM,105,交簡,3866,20170104,1","

林柏壽"
216,"KSDM,105,交簡,3868,20170104,1","

林柏壽"
217,"KSDM,105,交簡,3870,20170104,1","

林柏壽"
218,"KSDM,105,交簡,3872,20170105,1","

林柏壽"
219,"KSDM,105,交簡,3878,20170105,1","

林柏壽"
220,"KSDM,105,交簡,3880,20170105,1","

林柏壽"
221,"KSDM,105,交簡,3909,20170105,1","

林柏壽"
222,"KSDM,105,交簡,3932,20170106,1","

林柏壽"
223,"KSDM,105,交簡,3938,20170106,1","

林柏壽"
224,"KSDM,105,交簡,3941,20170106,1","

林柏壽"
225,"KSDM,105,交簡,3949,20170106,1","

林柏壽"
226,"KSDM,105,交簡,4328,20170117,1","

蔡英雌"
227,"KSDM,105,交簡,4335,20170118,1","

蔡英雌"
228,"KSDM,105,交簡,4423,20170106,1","

蔡英雌"
229,"KSDM,105,交簡,4429,20170118,1","

蔡英雌"
230,"KSDM,105,交簡,4493,20170117,1","

蔡英雌"
231,"KSDM,105,交簡,4548,20170119,1","

朱慧真"
232,"KSDM,105,交簡,4556,20170119,1","

朱慧真"
233,"KSDM,105,交簡,4595,20170104,1","

蔡英雌"
234,"KSDM,105,交簡,4611,20170125,1","

蔡英雌"
235,"KSDM,105,交簡,4620,20170117,1","

蔡英雌"
236,"KSDM,105,交簡,4623,20170125,1","

蔡英雌"
237,"KSDM,105,交簡,4633,20170125,1","

蔡英雌"
238,"KSDM,105,交簡,4634,20170125,1","

蔡英雌"
239,"KSDM,105,交簡,4678,20170117,1","

蔡英雌"
240,"KSDM,105,交簡,4684,20170117,1","

蔡英雌"
241,"KSDM,105,交簡,4727,20170110,1","

蔡英雌"
242,"KSDM,105,交簡,4731,20170110,1","

蔡英雌"
243,"KSDM,105,交簡,4824,20170119,1","

蔡英雌"
244,"KSDM,105,交簡,4872,20170119,1","

蔡英雌"
245,"KSDM,105,交簡,4873,20170119,1","

蔡英雌"
246,"KSDM,105,交簡,4897,20170119,1","

蔡英雌"
247,"KSDM,105,交簡,5051,20170113,1","

王俊彥"
248,"KSDM,105,交簡,5058,20170113,1","

王俊彥"
249,"KSDM,105,交簡,5098,20170113,1","

王俊彥"
250,"KSDM,105,交簡,5129,20170113,1","

王俊彥"
251,"KSDM,105,交簡,5157,20170113,1","

王俊彥"
252,"KSDM,106,交簡,100,20170113,1","

王俊彥"
253,"KSDM,106,交簡,111,20170126,1","

王俊彥"
254,"KSDM,106,交簡,114,20170125,1","

王俊彥"
255,"KSDM,106,交簡,117,20170126,1","

王俊彥"
256,"KSDM,106,交簡,119,20170125,1","

王俊彥"
257,"KSDM,106,交簡,135,20170111,1","

林英奇"
258,"KSDM,106,交簡,149,20170126,1","

王俊彥"
259,"KSDM,106,交簡,155,20170125,1","

王俊彥"
260,"KSDM,106,交簡,168,20170125,1","

王俊彥"
261,"KSDM,106,交簡,17,20170126,1","

王俊彥"
262,"KSDM,106,交簡,20,20170124,1","

王俊彥"
263,"KSDM,106,交簡,231,20170125,1","

王俊彥"
264,"KSDM,106,交簡,74,20170125,1","

王俊彥"
265,"KSDM,106,交簡,87,20170113,1","

王俊彥"
266,"KSDM,106,交簡,99,20170113,1","

王俊彥"
267,"MLDM,106,苗交簡,10,20170116,1","

魏正杰"
268,"MLDM,106,苗交簡,30,20170120,1","

魏正杰"
269,"MLDM,106,苗交簡,32,20170125,1","

柳章峰"
270,"MLDM,106,苗交簡,34,20170126,1","

王瀅婷"
271,"NHEM,105,湖交簡,901,20170116,1","

李昭然"
272,"NHEM,105,湖交簡,904,20170116,1","

李昭然"
273,"NHEM,105,湖交簡,908,20170113,1","

李昭然"
274,"NHEM,105,湖交簡,916,20170113,1","

李昭然"
275,"NHEM,105,湖交簡,925,20170113,1","

李昭然"
276,"NHEM,105,湖交簡,942,20170116,1","

李昭然"
277,"NHEM,105,湖交簡,955,20170116,1","

李昭然"
278,"NHEM,105,湖交簡,968,20170116,1","

李昭然"
279,"NHEM,105,湖交簡,973,20170116,1","

李昭然"
280,"NHEM,105,湖交簡,976,20170116,1","

李昭然"
281,"NTDM,106,投交簡,12,20170126,1","

顏代容"
282,"PCDM,105,審交簡,727,20170113,1","

王唯怡"
283,"PCDM,106,交簡,13,20170105,1","

徐蘭萍"
284,"PCDM,106,交簡,268,20170125,1","

徐蘭萍"
285,"PCDM,106,交簡,271,20170124,1","

周靖容"
286,"PCDM,106,交簡,274,20170125,1","

徐蘭萍"
287,"PCDM,106,交簡,310,20170126,1","

陳伯厚"
288,"PCDM,106,交簡,65,20170109,1","

陳伯厚"
289,"PCDM,106,交簡,99,20170112,1","

徐蘭萍"
290,"PCDM,106,審交簡,12,20170116,1","

劉正偉"
291,"PKEM,105,港交簡,315,20170119,1","

許佩如"
292,"PKEM,105,港交簡,318,20170119,1","

許佩如"
293,"PKEM,105,港交簡,321,20170126,1","

吳基華"
294,"PKEM,105,港交簡,341,20170104,1","

王紹銘"
295,"PKEM,105,港交簡,344,20170119,1","

許佩如"
296,"PKEM,105,港交簡,347,20170126,1","

吳基華"
297,"PKEM,106,港交簡,1,20170110,1","

王紹銘"
298,"PKEM,106,港交簡,3,20170119,1","

許佩如"
299,"PTDM,105,交簡,1670,20170113,1","

鄭琬薇"
300,"PTDM,105,交簡,1884,20170113,1","

鄭琬薇"
301,"PTDM,105,交簡,1950,20170105,1","

鄭琬薇"
302,"PTDM,105,交簡,2031,20170105,1","

鄭琬薇"
303,"PTDM,105,交簡,2069,20170106,1","

鄭琬薇"
304,"PTDM,105,交簡,2100,20170105,1","

鄭琬薇"
305,"PTDM,105,交簡,2206,20170106,1","

鄭琬薇"
306,"PTDM,105,交簡,2208,20170111,1","

鄭琬薇"
307,"PTDM,105,交簡,2251,20170105,1","

鄭琬薇"
308,"PTDM,105,交簡,2285,20170111,1","

鄭琬薇"
