,案號,法官
1,"CHDM,109,交簡,107,20200109,1","

黃士瑋"
2,"CHDM,109,交簡,109,20200131,1","

呂美玲"
3,"CHDM,109,交簡,12,20200131,1","

呂美玲 (Lu Mei-ling)"
4,"CHDM,109,交簡,121,20200130,1","

陳怡潔"
5,"CHDM,109,交簡,123,20200131,1","

梁義順"
6,"CHDM,109,交簡,13,20200110,1","

張佳燉"
7,"CHDM,109,交簡,149,20200131,1","

梁義順"
8,"CHDM,109,交簡,155,20200131,1","

梁義順"
9,"CHDM,109,交簡,194,20200131,1","

張琇涵"
10,"CHDM,109,交簡,23,20200121,1","

梁義順"
11,"CHDM,109,交簡,26,20200114,1","

鮑慧忠"
12,"CHDM,109,交簡,37,20200107,1","

李昕"
13,"CHDM,109,交簡,43,20200109,1","

黃士瑋"
14,"CHDM,109,交簡,48,20200107,1","

李昕"
15,"CHDM,109,交簡,52,20200131,1","

梁義順"
16,"CHDM,109,交簡,53,20200115,1","

陳怡潔"
17,"CHDM,109,交簡,64,20200115,1","

陳怡潔"
18,"CHDM,109,交簡,65,20200131,1","

呂美玲 (Lu Mei-ling)"
19,"CHDM,109,交簡,78,20200131,1","

陳義忠"
20,"CHDM,109,交簡,80,20200107,1","

李昕"
21,"CHDM,109,交簡,99,20200114,1","

鮑慧忠"
22,"CPEM,108,竹北交簡,528,20200106,1","

黃美盈"
23,"CPEM,108,竹北交簡,546,20200120,1","

黃美文"
24,"CPEM,108,竹北交簡,563,20200120,1","

黃美文"
25,"CPEM,108,竹東交簡,210,20200109,1","

周煙平"
26,"CPEM,109,竹北交簡,1,20200130,1","

潘韋廷"
27,"CPEM,109,竹北交簡,8,20200110,1","

廖素琪"
28,"CTDM,108,交簡,2897,20200108,1","

陳奕帆"
29,"CTDM,108,交簡,2898,20200107,1","

陳奕帆"
30,"CTDM,108,交簡,3038,20200108,1","

陳奕帆"
31,"CTDM,108,交簡,3246,20200106,1","

姚怡菁"
32,"CTDM,108,交簡,3287,20200102,1","

徐右家"
33,"CTDM,108,交簡,3291,20200102,1","

柯盛益"
34,"CTDM,108,交簡,3405,20200109,1","

陳箐"
35,"CTDM,109,交簡,11,20200107,1","

黃三友"
36,"CTDM,109,交簡,12,20200107,1","

黃三友"
37,"CTDM,109,交簡,17,20200107,1","

柯盛益"
38,"CTDM,109,交簡,173,20200121,1","

柯盛益"
39,"CTDM,109,交簡,199,20200120,1","

黃三友"
40,"CTDM,109,交簡,204,20200131,1","

林揚奇"
41,"CTDM,109,交簡,215,20200120,1","

柯盛益"
42,"CTDM,109,交簡,24,20200108,1","

柯盛益"
43,"CTDM,109,交簡,25,20200109,1","

陳 箐"
44,"CTDM,109,交簡,3,20200109,1","

陳箐"
45,"CTDM,109,交簡,78,20200114,1","

柯盛益"
46,"CTDM,109,交簡,8,20200108,1","

林揚奇"
47,"CTDM,109,交簡,96,20200120,1","

姚怡菁"
48,"CTDM,109,交簡,97,20200114,1","

徐右家"
49,"CYDM,109,嘉交簡,102,20200131,1","

陳嘉臨"
50,"CYDM,109,嘉交簡,105,20200131,1","

周欣怡"
51,"CYDM,109,嘉交簡,19,20200113,1","

沈芳伃"
52,"CYDM,109,嘉交簡,23,20200108,1","

林正雄"
53,"CYDM,109,嘉交簡,24,20200106,1","

沈芳伃"
54,"CYDM,109,嘉交簡,3,20200107,1","

張佐榕"
55,"CYDM,109,嘉交簡,32,20200131,1","

陳嘉臨"
56,"CYDM,109,嘉交簡,58,20200116,1","

謝其達"
57,"CYDM,109,嘉交簡,60,20200120,1","

沈芳伃"
58,"CYDM,109,嘉交簡,70,20200130,1","

張佐榕"
59,"CYDM,109,嘉交簡,73,20200120,1","

凃啟夫"
60,"CYDM,109,嘉交簡,74,20200130,1","

張佐榕"
61,"CYDM,109,嘉交簡,80,20200121,1","

陳嘉臨"
62,"CYDM,109,嘉交簡,85,20200131,1","

陳嘉臨"
63,"CYDM,109,嘉交簡,86,20200130,1","

張佐榕"
64,"CYDM,109,嘉交簡,89,20200130,1","

黃美綾"
65,"CYDM,109,朴交簡,11,20200121,1","

陳嘉臨"
66,"FYEM,109,豐交簡,1,20200116,1","

巫淑芳"
67,"FYEM,109,豐交簡,10,20200116,1","

巫淑芳"
68,"FYEM,109,豐交簡,14,20200116,1","

巫淑芳"
69,"FYEM,109,豐交簡,15,20200116,1","

巫淑芳"
70,"FYEM,109,豐交簡,31,20200121,1","

巫淑芳"
71,"FYEM,109,豐交簡,32,20200121,1","

巫淑芳"
72,"FYEM,109,豐交簡,37,20200121,1","

巫淑芳"
73,"FYEM,109,豐交簡,38,20200121,1","

巫淑芳"
74,"FYEM,109,豐交簡,42,20200120,1","

法官：巫淑芳"
75,"FYEM,109,豐交簡,54,20200121,1","

巫淑芳"
76,"FYEM,109,豐交簡,69,20200121,1","

巫淑芳"
77,"HLDM,109,交簡,1,20200107,1","

黃園舒"
78,"HLDM,109,交簡,2,20200109,1","

陸怡璇"
79,"HLDM,109,玉交簡,5,20200114,1","

林思婷"
80,"HLDM,109,花交簡,20,20200106,1","

顏維助"
81,"HLDM,109,花交簡,26,20200116,1","

高郁茹"
82,"HLDM,109,花交簡,8,20200103,1","

黃園舒"
83,"ILDM,108,交簡,1005,20200102,1","

呂俐雯"
84,"ILDM,108,交簡,1006,20200102,1","

呂俐雯"
85,"ILDM,108,交簡,1116,20200122,1","

李岳"
86,"ILDM,108,交簡,1153,20200103,1","

陳盈孜"
87,"ILDM,109,交簡,30,20200113,1","

陳盈孜"
88,"ILDM,109,交簡,33,20200131,1","

楊心希"
89,"ILDM,109,交簡,41,20200117,1","

陳盈孜"
90,"ILDM,109,交簡,48,20200113,1","

許乃文"
91,"ILDM,109,交簡,49,20200131,1","

陳嘉瑜"
92,"ILDM,109,交簡,58,20200131,1","

陳盈孜"
93,"KLDM,109,基交簡,1,20200114,1","

謝昀芳"
94,"KLDM,109,基交簡,17,20200130,1","

陳怡安"
95,"KLDM,109,基交簡,20,20200107,1","

李謀榮"
96,"KLDM,109,基交簡,22,20200130,1","

陳怡安"
97,"KLDM,109,基交簡,40,20200122,1","

施又傑"
98,"KLDM,109,基交簡,43,20200131,1","

鄭虹真"
99,"KLDM,109,基交簡,47,20200131,1","

施又傑"
100,"KLDM,109,基交簡,50,20200130,1","

施添寶"
101,"KLDM,109,基交簡,7,20200107,1","

謝昀芳"
102,"KLDM,109,基交簡,8,20200106,1","

李謀榮"
103,"KSDM,108,交簡,3137,20200117,1","

林軒鋒"
104,"KSDM,108,交簡,3271,20200106,1","

林軒鋒"
105,"KSDM,108,交簡,3275,20200106,1","

林軒鋒"
106,"KSDM,108,交簡,3281,20200106,1","

林軒鋒"
107,"KSDM,108,交簡,3287,20200106,1","

林軒鋒"
108,"KSDM,108,交簡,3290,20200106,1","

林軒鋒"
109,"KSDM,108,交簡,3304,20200106,1","

林軒鋒"
110,"KSDM,108,交簡,3315,20200108,1","

詹尚晃"
111,"KSDM,108,交簡,3321,20200106,1","

林軒鋒"
112,"KSDM,108,交簡,3352,20200108,1","

林軒鋒"
113,"KSDM,108,交簡,3373,20200108,1","

林軒鋒"
114,"KSDM,108,交簡,3393,20200108,1","

林軒鋒"
115,"KSDM,108,交簡,3395,20200108,1","

林軒鋒"
116,"KSDM,108,交簡,3431,20200108,1","

林軒鋒"
117,"KSDM,108,交簡,3445,20200108,1","

林軒鋒"
118,"KSDM,108,交簡,3450,20200108,1","

林軒鋒"
119,"KSDM,108,交簡,3452,20200113,1","

林軒鋒"
120,"KSDM,108,交簡,3468,20200131,1","

林軒鋒"
121,"KSDM,108,交簡,3494,20200117,1","

林軒鋒"
122,"KSDM,108,交簡,3500,20200103,1","

詹尚晃"
123,"KSDM,108,交簡,3504,20200102,1","

方錦源"
124,"KSDM,108,交簡,3509,20200102,1","

方錦源"
125,"KSDM,108,交簡,3514,20200131,1","

林軒鋒"
126,"KSDM,108,交簡,3518,20200117,1","

林軒鋒"
127,"KSDM,108,交簡,3524,20200102,1","

方錦源"
128,"KSDM,108,交簡,3525,20200117,1","

林軒鋒"
129,"KSDM,108,交簡,3527,20200131,1","

林軒鋒"
130,"KSDM,108,交簡,3534,20200131,1","

林軒鋒"
131,"KSDM,108,交簡,3536,20200131,1","

林軒鋒"
132,"KSDM,108,交簡,3537,20200102,1","

方錦源"
133,"KSDM,108,交簡,3541,20200103,1","

呂明燕"
134,"KSDM,108,交簡,3549,20200131,1","

林軒鋒"
135,"KSDM,108,交簡,3556,20200103,1","

呂明燕"
136,"KSDM,108,交簡,3557,20200102,1","

方錦源"
137,"KSDM,108,交簡,3558,20200103,1","

呂明燕"
138,"KSDM,108,交簡,3559,20200117,1","

黃傳堯"
139,"KSDM,108,交簡,3564,20200117,1","

黃傳堯"
140,"KSDM,108,交簡,3567,20200117,1","

黃傳堯"
141,"KSDM,108,交簡,3572,20200102,1","

方錦源"
142,"KSDM,108,交簡,3574,20200102,1","

方錦源"
143,"KSDM,108,交簡,3577,20200117,1","

黃傳堯"
144,"KSDM,108,交簡,3579,20200117,1","

黃傳堯"
145,"KSDM,108,交簡,3580,20200103,1","

呂明燕"
146,"KSDM,108,交簡,3586,20200117,1","

黃傳堯"
147,"KSDM,108,交簡,3591,20200102,1","

方錦源"
148,"KSDM,108,交簡,3592,20200103,1","

呂明燕"
149,"KSDM,108,交簡,3593,20200117,1","

黃傳堯"
150,"KSDM,108,交簡,3595,20200103,1","

呂明燕"
151,"KSDM,108,交簡,3606,20200117,1","

黃傳堯"
152,"KSDM,108,交簡,3607,20200103,1","

呂明燕"
153,"KSDM,108,交簡,3608,20200117,1","

黃傳堯"
154,"KSDM,108,交簡,3610,20200102,1","

方錦源"
155,"KSDM,108,交簡,3612,20200103,1","

呂明燕"
156,"KSDM,108,交簡,3626,20200102,1","

方錦源"
157,"KSDM,108,交簡,3636,20200103,1","

呂明燕"
158,"KSDM,108,交簡,3637,20200117,1","

黃傳堯"
159,"KSDM,108,交簡,3640,20200117,1","

黃傳堯"
160,"KSDM,108,交簡,3641,20200102,1","

方錦源"
161,"KSDM,108,交簡,3645,20200102,1","

方錦源"
162,"KSDM,108,交簡,3647,20200103,1","

呂明燕"
163,"KSDM,108,交簡,3648,20200102,1","

方錦源"
164,"KSDM,108,交簡,3650,20200102,1","

方錦源"
165,"KSDM,108,交簡,3652,20200103,1","

呂明燕"
