,案號,刑期,呼氣酒精濃度,是否累犯,是否坦承犯行,有無出現交通事故,有無乘客,是否為職業駕駛,交通工具,家庭經濟,教育程度,除酒駕以外的交通違規,易科罰金,併科罰金
1,"CHDM,111,交簡,1,20220110,1",4 months,0.81毫克/公升,yes,是,否,否,否,普通重型機車,經濟勉持,國中畢業,未戴安全帽,"NT$1,000 per day",0元
2,"CHDM,111,交簡,10,20220114,1",2 months,未提及,No,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,"NT$1,000 per day",0元
3,"CHDM,111,交簡,115,20220113,1",4 months,0.94毫克/公升,yes,是,是,未提及,否,自用小客貨車,未提及,高職畢業,曾於民國95年間有不能安全駕駛之紀錄（駕駛自小客車、呼氣酒精濃度每公升0.28毫克，並因而肇事）；無駕駛執照（97年間即遭吊銷）,yes,"30,000元"
4,"CHDM,111,交簡,145,20220128,1",4 months,0.71毫克/公升,No,是,無,無,否,普通重型機車,未婚、無子,國中畢業,無,"NT$1,000 per day",0元
5,"CHDM,111,交簡,148,20220120,1",3 months,0.73mg/L,No,是,是,無,否,普通重型機車,未提及,高中畢業,無,"NT$1,000 per day","NT$80,000"
6,"CHDM,111,交簡,155,20220122,1",6 months,0.29毫克/公升,yes,是,是,無,否,自用小客車,母親及智能不足的姐姐同住,國中肄業,無,"NT$1,000 per day",0元
7,"CHDM,111,交簡,157,20220120,1",2 months,0.54毫克/公升,No,是,否,否,否,普通重型機車,不明,高中肄業,不明,Yes,"NT$10,000"
8,"CHDM,111,交簡,169,20220120,1",3 months,未提及,no,未提及,未提及,未提及,未提及,小客車,未提及,未提及,未提及,"yes, NT$1,000 per day",0元
9,"CHDM,111,交簡,171,20220120,1",2 months,0.29毫克/公升,No,是,無,無,否,普通重型機車,未提及,高職畢業,無,"NT$1,000 per day","NT$30,000"
10,"CHDM,111,交簡,172,20220127,1",3 months,每公升0.25毫克以上,yes,未提及,未提及,未提及,未提及,動力交通工具,未提及,未提及,未提及,"NT$1,000 per day",0元
11,"CHDM,111,交簡,175,20220124,1",2 months,0.40毫克/公升,否,是,否,否,否,自用小客車,小康,高中畢業,無,可易科罰金,0元
12,"CHDM,111,交簡,181,20220125,1",4 months,0.85毫克/公升,否,是,是,無,否,普通重型機車,未提及,未提及,無,可,0元
13,"CHDM,111,交簡,184,20220121,1",4 months,0.69毫克/公升,no,是,否,否,否,普通重型機車,小康,小學畢業,無,yes,0元
14,"CHDM,111,交簡,211,20220127,1",2 months,0.54毫克/公升,No,未提及,未提及,未提及,否,機車,小康,國中畢業,未提及,"NT$1,000 per day",0元
15,"CHDM,111,交簡,27,20220105,1",2 months,0.36毫克/公升,no,未提及,未提及,未提及,是,自用小客車,勉持,國中畢業,未提及,"NT$1,000 per day",0元
16,"CHDM,111,交簡,32,20220117,1",4 months,0.63毫克/公升,No,未提及,未提及,未提及,否,自小貨車,勉持,高職畢業,有酒後駕車紀錄,"NT$1,000 per day",0元
17,"CHDM,111,交簡,38,20220128,1",3 months,0.25毫克以上每公升,no,是,無,無,否,自用小貨車,未明確,未明確,無,"NT$1,000 per day",0元
18,"CHDM,111,交簡,5,20220124,1",2 months,0.36毫克/公升,no,是,否,否,否,重型機車,小康,高職肄業,曾有1次因酒醉駕車之公共危險案件,yes,"20,000元"
19,"CHDM,111,交簡,56,20220126,1",易科罰金,0.26毫克/公升,否,是,否,否,否,自用小客車,小康,高中(職)畢業,駕駛執照遭吊扣,10000元,併科罰金
20,"CHDM,111,交簡,58,20220113,1",5 months,0.85毫克/公升,No,是,否,否,否,自用小客車,不明,不明,無,"NT$1,000 (1 day)","NT$1,000"
21,"CHDM,111,交簡,63,20220128,1",4 months,0.47毫克/公升,yes,是,無,無,否,機車,貧寒,高中肄業,無,"NT$1,000 per day",0元
22,"CHDM,111,交簡,8,20220113,1",6 months,1.13毫克/公升,yes,是,無,無,否,普通重型機車,未提及,高中畢業,曾於103年間有不能安全駕駛之前案紀錄，普通重型機車駕駛執照也因酒駕而遭吊銷,"NT$1,000 per day",0元
23,"CPEM,110,竹北交簡,395,20220103,1",5 months,0.44毫克/公升,否,是,否,否,否,自用小客貨車,未提及,未提及,違規停車,"可易科罰金，NT$1,000 per day",0元
24,"CPEM,110,竹東交簡,197,20220103,1",6 months,0.80毫克/公升,No,是,否,否,否,普通重型機車,未提及,未提及,違規雙黃線迴轉,"NT$1,000 per day",0元
25,"CPEM,110,竹東交簡,207,20220103,1",6 months,0.51毫克/公升,yes,是,否,不明,不明,機車,不明,不明,不明,"NT$1,000 per day",0元
26,"CPEM,111,竹北交簡,8,20220128,1",5 months,0.33毫克/公升,yes,是,無,無,無,車輛,未明確,智識程度,無,"NT$1,000 per day",0元
27,"CPEM,111,竹東交簡,4,20220104,1",4 months,每公升1.20毫克,yes,是,是,無,否,重型機車,勉持,國中畢業,無,yes,0元
28,"CPEM,111,竹東交簡,5,20220125,1",6 months,0.86毫克/公升,yes,是,否,未提及,未提及,普通重型機車,未提及,未提及,未提及,"NT$1,000 per day",0元
29,"CTDM,110,交簡,2096,20220103,1",3 months,每公升0.75毫克,No,是,是,否,否,自用小客車,勉持,國中畢業,無,"NT$1,000 per day",0元
30,"CTDM,110,交簡,2495,20220106,1",2 months,0.60毫克/公升,no,是,無,無,否,車,勉持,高中肄業,無,yes,"20,000元"
31,"CTDM,110,交簡,2533,20220119,1",3 months,0.29毫克/公升,No,是,是,否,否,自用小客車,尚佳,不明,無,"NT$1,000 per day","NT$50,000"
32,"CTDM,110,交簡,2575,20220104,1",2 months,0.67毫克/公升,no,是,否,不明,否,機車,小康,國中畢業,不明,yes,"NT$10,000"
33,"CTDM,110,交簡,2577,20220104,1",2 months,0.32毫克/公升,否,是,否,不明,否,機車,勉持,高職肄業,不明,可,0元
34,"CTDM,111,交簡,1,20220103,1",2 months,0.64毫克/公升,No,是,無,無,否,普通重型機車,勉持,國中畢業,無,Yes,"NT$10,000"
