,案號,法官
1,"CHDM,111,交簡,1,20220110,1","

陳薏伩"
2,"CHDM,111,交簡,10,20220114,1","

余仕明"
3,"CHDM,111,交簡,115,20220113,1","

陳怡潔"
4,"CHDM,111,交簡,145,20220128,1","

巫美蕙"
5,"CHDM,111,交簡,148,20220120,1","

陳怡潔"
6,"CHDM,111,交簡,155,20220122,1","

陳怡潔"
7,"CHDM,111,交簡,157,20220120,1","

王素珍"
8,"CHDM,111,交簡,169,20220120,1","

王祥豪"
9,"CHDM,111,交簡,171,20220120,1","

陳怡潔"
10,"CHDM,111,交簡,172,20220127,1","

林怡君"
11,"CHDM,111,交簡,175,20220124,1","

范馨元"
12,"CHDM,111,交簡,181,20220125,1","

葉明松"
13,"CHDM,111,交簡,184,20220121,1","

吳永梁"
14,"CHDM,111,交簡,211,20220127,1","

梁義順"
15,"CHDM,111,交簡,27,20220105,1","

王義閔"
16,"CHDM,111,交簡,32,20220117,1","

梁義順"
17,"CHDM,111,交簡,38,20220128,1","

呂美玲"
18,"CHDM,111,交簡,5,20220124,1","

范馨元"
19,"CHDM,111,交簡,56,20220126,1","

周淡怡 (Judge Chou Tan-yi)"
20,"CHDM,111,交簡,58,20220113,1","

葉明松"
21,"CHDM,111,交簡,63,20220128,1","

巫美蕙"
22,"CHDM,111,交簡,8,20220113,1","

陳怡潔"
23,"CPEM,110,竹北交簡,395,20220103,1","

楊祐庭"
24,"CPEM,110,竹東交簡,197,20220103,1","

楊祐庭"
25,"CPEM,110,竹東交簡,207,20220103,1","

楊祐庭"
26,"CPEM,111,竹北交簡,8,20220128,1","

林哲瑜"
27,"CPEM,111,竹東交簡,4,20220104,1","

華澹寧"
28,"CPEM,111,竹東交簡,5,20220125,1","

楊祐庭"
29,"CTDM,110,交簡,2096,20220103,1","

簡祥紋"
30,"CTDM,110,交簡,2495,20220106,1","

廖華君"
31,"CTDM,110,交簡,2533,20220119,1","

陳芸葶"
32,"CTDM,110,交簡,2575,20220104,1","

廖華君"
